,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,23.0,0.013,0.299,12.037799,0.003077,0.038781
1,23.0,0.013,0.299,12.038139,0.003013,0.03569
2,23.0,0.022,0.506,12.027095,0.019226,0.232094
3,23.0,0.029,0.667,12.021365,0.029213,0.351569
4,23.001,0.035,0.805,12.016821,0.039787,0.478883
5,23.001,0.04,0.92,12.012112,0.049646,0.59548
6,23.001,0.047,1.081,12.008648,0.060436,0.724622
7,23.001,0.053,1.219,12.005362,0.070031,0.840731
8,23.001,0.058,1.334,12.003244,0.079922,0.960089
9,23.001,0.065,1.472,12.00049,0.090656,1.087044
10,23.001,0.07,1.61,11.998315,0.10005,1.200034
11,23.001,0.076,1.748,11.996063,0.109628,1.316454
12,23.001,0.081,1.863,11.99334,0.119776,1.435234
13,23.001,0.087,2.001,11.99137,0.129235,1.550948
14,23.001,0.094,2.162,11.989001,0.140016,1.679763
15,23.001,0.099,2.277,11.98761,0.149964,1.797449
16,23.002,0.105,2.415,11.985878,0.159631,1.912253
17,23.002,0.111,2.553,11.98422,0.170004,2.037322
18,23.002,0.117,2.691,11.98188,0.180007,2.156861
19,23.002,0.123,2.829,11.979764,0.190532,2.283136
20,23.002,0.129,2.967,11.978505,0.200448,2.400935
21,23.002,0.134,3.082,11.976388,0.210042,2.515271
22,23.002,0.14,3.22,11.97467,0.220608,2.641026
23,23.002,0.146,3.358,11.973323,0.230395,2.758418
24,23.002,0.152,3.496,11.971755,0.240142,2.873899
25,23.003,0.158,3.634,11.97026,0.250434,2.99743
26,23.003,0.164,3.772,11.968719,0.260286,3.114907
27,23.003,0.169,3.888,11.967624,0.269985,3.231759
28,23.003,0.175,4.026,11.966276,0.279667,3.347058
29,23.003,0.181,4.164,11.964648,0.290321,3.473877
30,23.003,0.187,4.302,11.963404,0.30014,3.590777
31,23.003,0.193,4.417,11.962042,0.309695,3.704904
32,23.003,0.199,4.578,11.960666,0.320573,3.834758
33,23.0,0.212,4.876,12.291673,0.330384,4.059833
34,23.001,0.218,5.014,12.282242,0.340267,4.178789
35,23.001,0.225,5.175,12.270428,0.349637,4.292943
36,23.001,0.231,5.313,12.287721,0.360243,4.431244
37,23.001,0.237,5.428,12.273255,0.370166,4.542278
38,23.001,0.244,5.589,12.275433,0.379416,4.659307
39,23.001,0.25,5.75,12.286092,0.390278,4.792543
40,23.001,0.255,5.865,12.240907,0.400322,4.901393
41,23.001,0.261,6.003,12.259576,0.409748,5.02425
42,23.001,0.268,6.164,12.261175,0.420474,5.152995
43,23.001,0.274,6.302,12.243143,0.430156,5.266903
44,23.001,0.279,6.44,12.214155,0.439574,5.370647
45,23.001,0.285,6.555,12.224222,0.450404,5.505867
46,23.001,0.292,6.716,12.213193,0.460376,5.621596
47,23.001,0.298,6.831,12.209373,0.469754,5.734766
48,23.001,0.303,6.969,12.194094,0.480271,5.856053
49,23.001,0.309,7.084,12.1849,0.490283,5.973971
