,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,23.001,0.013,0.299,11.999913,0.002844,0.035865
1,23.001,0.013,0.299,11.999853,0.003045,0.03625
2,23.001,0.022,0.506,11.988558,0.018937,0.225681
3,23.001,0.028,0.644,11.983109,0.028788,0.346031
4,23.001,0.034,0.805,11.978298,0.039586,0.471293
5,23.001,0.04,0.92,11.974686,0.049149,0.589401
6,23.001,0.046,1.058,11.971398,0.060051,0.720329
7,23.001,0.052,1.196,11.968853,0.069854,0.833194
8,23.001,0.058,1.334,11.966291,0.079384,0.951567
9,23.001,0.064,1.472,11.963078,0.090239,1.07943
10,23.001,0.07,1.61,11.960946,0.099737,1.194582
11,23.001,0.076,1.748,11.9592,0.109684,1.311638
12,23.001,0.081,1.863,11.956861,0.119439,1.426685
13,23.001,0.087,2.001,11.954936,0.129098,1.541911
14,23.002,0.093,2.139,11.952967,0.13968,1.670341
15,23.002,0.099,2.277,11.951516,0.149691,1.790093
16,23.002,0.105,2.415,11.950302,0.159302,1.900727
17,23.002,0.111,2.553,11.949191,0.169707,2.028234
18,23.002,0.117,2.691,11.9474,0.179743,2.147075
19,23.002,0.123,2.829,11.945446,0.190212,2.272063
20,23.002,0.129,2.967,11.943625,0.200055,2.386993
21,23.002,0.134,3.082,11.942307,0.209754,2.505713
22,23.002,0.14,3.22,11.941078,0.220215,2.630847
23,23.002,0.146,3.358,11.940027,0.229898,2.747175
24,23.002,0.151,3.473,11.938932,0.2395,2.85918
25,23.002,0.158,3.634,11.937392,0.250202,2.98742
26,23.003,0.164,3.772,11.936371,0.260213,3.104093
27,23.003,0.169,3.888,11.935289,0.269728,3.218336
28,23.003,0.175,4.026,11.934579,0.279194,3.331495
29,23.003,0.181,4.164,11.933173,0.290128,3.460699
30,23.003,0.187,4.302,11.931988,0.299683,3.577057
31,23.003,0.192,4.417,11.9311,0.308989,3.688844
32,23.004,0.198,4.578,11.929931,0.320099,3.817703
33,23.004,0.204,4.693,11.929249,0.330023,3.934332
34,23.004,0.21,4.831,11.92802,0.339778,4.051908
35,23.004,0.215,4.946,11.92694,0.349341,4.165223
36,23.004,0.222,5.107,11.925992,0.360002,4.291637
37,23.004,0.227,5.222,11.925,0.369765,4.407237
38,23.004,0.233,5.36,11.924216,0.379159,4.519537
39,23.004,0.239,5.498,11.92346,0.390013,4.647735
40,23.004,0.245,5.636,11.922232,0.399816,4.764205
41,23.004,0.25,5.751,11.921314,0.409331,4.878618
42,23.004,0.256,5.912,11.920441,0.420072,5.004957
43,23.004,0.262,6.027,11.919463,0.429811,5.120718
44,23.004,0.268,6.165,11.918767,0.439342,5.237841
45,23.004,0.274,6.303,11.918072,0.449963,5.363357
46,23.004,0.279,6.418,11.916813,0.459847,5.48093
47,23.004,0.285,6.556,11.915999,0.469385,5.594619
48,23.004,0.291,6.694,11.915096,0.479878,5.719228
49,23.004,0.297,6.832,11.914134,0.489826,5.836005
50,23.004,0.302,6.947,11.91332,0.499332,5.947829
51,23.004,0.308,7.085,11.912875,0.508925,6.062532
52,23.004,0.314,7.223,11.911646,0.519726,6.1924
53,23.004,0.32,7.361,11.910788,0.529371,6.305975
54,23.004,0.325,7.476,11.910033,0.539169,6.421669
55,23.004,0.332,7.637,11.909129,0.549994,6.548034
56,23.004,0.337,7.752,11.908196,0.559358,6.661598
57,23.004,0.342,7.89,11.907545,0.569188,6.776649
58,23.004,0.349,8.028,11.906923,0.580053,6.905688
59,23.004,0.354,8.143,11.90571,0.58961,7.019332
60,23.004,0.36,8.281,11.904865,0.599383,7.134815
61,23.004,0.366,8.419,11.904111,0.609976,7.261007
62,23.004,0.371,8.534,11.9034,0.619236,7.373569
63,23.004,0.377,8.673,11.902468,0.62913,7.490096
64,23.004,0.383,8.811,11.901608,0.639979,7.618093
65,23.004,0.388,8.926,11.901017,0.649776,7.734869
66,23.004,0.394,9.064,11.900024,0.659349,7.847428
67,23.004,0.4,9.202,11.899152,0.670014,7.973166
68,23.004,0.406,9.34,11.898678,0.679779,8.090926
69,23.004,0.411,9.455,11.898352,0.689288,8.202085
70,23.004,0.417,9.593,11.897937,0.700201,8.329295
71,23.004,0.423,9.731,11.897686,0.709919,8.447885
72,23.004,0.428,9.846,11.897374,0.719371,8.560942
73,23.004,0.434,9.984,11.897079,0.729161,8.673155
74,23.004,0.44,10.122,11.896841,0.739914,8.80138
75,23.004,0.445,10.237,11.89656,0.74939,8.913753
76,23.004,0.45,10.352,11.896235,0.75906,9.029368
77,23.004,0.456,10.49,11.895997,0.769925,9.159834
78,23.004,0.462,10.628,11.895672,0.779474,9.274737
79,23.004,0.467,10.743,11.895464,0.789247,9.390623
80,23.004,0.473,10.904,11.895168,0.800048,9.515512
81,23.004,0.478,11.019,11.894931,0.809396,9.629742
82,23.004,0.485,11.134,11.894621,0.819451,9.746351
83,23.004,0.49,11.272,11.89434,0.8303,9.873992
84,23.004,0.496,11.41,11.893866,0.83972,9.987878
85,23.004,0.501,11.525,11.893614,0.849566,10.104978
86,23.004,0.507,11.663,11.893303,0.859155,10.216859
87,23.004,0.513,11.801,11.893036,0.869555,10.341774
88,23.004,0.518,11.916,11.892636,0.879385,10.457112
89,23.004,0.524,12.054,11.892341,0.889271,10.573342
90,23.004,0.529,12.169,11.892178,0.89971,10.700727
91,23.004,0.535,12.307,11.891927,0.909693,10.816673
92,23.004,0.541,12.445,11.89166,0.919418,10.933732
93,23.004,0.547,12.583,11.891319,0.929713,11.055788
94,23.004,0.552,12.698,11.891111,0.939607,11.175195
95,23.004,0.558,12.836,11.890845,0.949445,11.287262
96,23.004,0.564,12.974,11.890565,0.960254,11.417536
97,23.004,0.569,13.089,11.890179,0.969723,11.531358
98,23.004,0.575,13.227,11.889869,0.979336,11.644701
99,23.004,0.581,13.365,11.889558,0.98927,11.76127
100,23.004,0.586,13.48,11.889261,0.999573,11.884552
101,23.004,0.592,13.618,11.888966,1.009507,12.000058
102,23.004,0.598,13.756,11.8887,1.019168,12.118705
103,23.004,0.604,13.894,11.888433,1.029849,12.245818
104,23.004,0.609,14.009,11.88821,1.039663,12.35957
105,23.004,0.615,14.147,11.887855,1.049396,12.474516
106,23.004,0.621,14.262,11.887633,1.059956,12.599971
107,23.004,0.626,14.401,11.887306,1.069465,12.714187
108,23.004,0.632,14.539,11.886996,1.079568,12.831147
109,23.004,0.638,14.677,11.886685,1.090128,12.957288
110,23.004,0.644,14.815,11.886434,1.099901,13.07349
111,23.004,0.649,14.93,11.886093,1.109611,13.189257
112,23.004,0.655,15.068,11.885857,1.119986,13.312389
113,23.004,0.66,15.183,11.885574,1.129824,13.427621
114,23.004,0.666,15.321,11.885308,1.139509,13.543528
115,23.004,0.672,15.459,11.885072,1.149219,13.658151
116,23.004,0.678,15.597,11.884672,1.160132,13.785684
117,23.004,0.683,15.735,11.884316,1.169825,13.90047
118,23.004,0.689,15.85,11.884094,1.179262,14.012796
119,23.004,0.695,15.988,11.883695,1.189926,14.141414
120,23.004,0.701,16.126,11.883413,1.199732,14.25766
121,23.003,0.706,16.24,11.883087,1.209273,14.368034
122,23.003,0.712,16.378,11.882732,1.220162,14.498767
123,23.003,0.718,16.516,11.882451,1.229887,14.611984
124,23.003,0.724,16.654,11.882229,1.239525,14.728531
