,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,23.001,0.013,0.299,12.003318,0.003141,0.038091
1,23.001,0.013,0.299,12.003184,0.00327,0.038282
2,23.001,0.022,0.506,11.993547,0.018977,0.227987
3,23.001,0.028,0.644,11.989017,0.028861,0.345047
4,23.001,0.034,0.782,11.984619,0.039658,0.474519
5,23.001,0.04,0.92,11.98157,0.049381,0.589552
6,23.001,0.046,1.058,11.97849,0.060131,0.720763
7,23.001,0.052,1.196,11.976048,0.06979,0.833786
8,23.001,0.058,1.334,11.973487,0.079593,0.954539
9,23.001,0.064,1.472,11.971591,0.090375,1.0826
10,23.002,0.07,1.61,11.969341,0.099937,1.197052
11,23.002,0.076,1.748,11.967179,0.109708,1.311751
12,23.002,0.081,1.886,11.965418,0.119351,1.430483
13,23.002,0.087,2.001,11.964189,0.129098,1.541194
14,23.002,0.094,2.162,11.962531,0.139816,1.670919
15,23.002,0.099,2.3,11.961331,0.149563,1.79194
16,23.002,0.105,2.415,11.959954,0.159166,1.901217
17,23.002,0.112,2.553,11.958222,0.169611,2.029868
18,23.003,0.118,2.668,11.956535,0.179743,2.14997
19,23.003,0.124,2.829,11.955794,0.19026,2.272672
20,23.003,0.129,2.967,11.954596,0.199814,2.390421
21,23.004,0.135,3.106,11.953249,0.209665,2.50781
22,23.004,0.141,3.244,11.95196,0.220175,2.631029
23,23.004,0.147,3.405,11.950747,0.230018,2.747348
24,23.004,0.153,3.52,11.949873,0.239773,2.864179
25,23.004,0.159,3.635,11.94897,0.250266,2.990235
26,23.004,0.164,3.796,11.947933,0.260061,3.107093
27,23.004,0.17,3.911,11.947534,0.26976,3.223066
28,23.004,0.176,4.049,11.946512,0.279234,3.335955
29,23.004,0.182,4.187,11.945268,0.290209,3.467469
30,23.004,0.188,4.325,11.944159,0.299924,3.582617
31,23.004,0.193,4.44,11.943107,0.309157,3.693925
32,23.004,0.2,4.601,11.941981,0.320356,3.82358
33,23.004,0.206,4.739,11.941019,0.330063,3.940347
34,23.004,0.212,4.877,11.940279,0.339762,4.057891
35,23.004,0.217,4.992,11.939791,0.349292,4.169988
36,23.004,0.223,5.13,11.938872,0.359946,4.297641
37,23.004,0.229,5.268,11.937792,0.369958,4.415678
38,23.004,0.235,5.406,11.936844,0.379303,4.527016
39,23.004,0.241,5.544,11.93603,0.390069,4.656571
40,23.004,0.247,5.682,11.93569,0.399945,4.772257
41,23.004,0.252,5.797,11.935364,0.409355,4.885942
42,23.004,0.259,5.958,11.934179,0.420217,5.013393
43,23.004,0.265,6.096,11.933232,0.429755,5.129869
44,23.004,0.27,6.211,11.932387,0.439494,5.244236
45,23.004,0.276,6.349,11.931544,0.450196,5.370002
46,23.004,0.282,6.487,11.931233,0.460103,5.488849
47,23.004,0.288,6.625,11.930938,0.469505,5.602363
48,23.004,0.294,6.763,11.929723,0.480087,5.727869
49,23.004,0.3,6.901,11.928939,0.489962,5.845354
50,23.004,0.306,7.016,11.928168,0.49946,5.956757
