,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,20.001,0.014,0.28,12.01793,0.003101,0.036979
1,20.0,0.014,0.28,12.017634,0.003157,0.036883
2,20.0,0.024,0.48,12.006989,0.018865,0.227567
3,20.001,0.031,0.62,12.001438,0.028901,0.347044
4,20.001,0.038,0.76,11.996908,0.039642,0.474335
5,20.001,0.045,0.9,11.992718,0.049341,0.592412
6,20.002,0.053,1.06,11.98912,0.060203,0.720533
7,20.002,0.059,1.18,11.986026,0.069766,0.83496
8,20.002,0.065,1.3,11.98345,0.079601,0.95255
9,20.002,0.073,1.46,11.980045,0.090359,1.08222
10,20.002,0.08,1.6,11.977572,0.099849,1.196144
11,20.002,0.086,1.72,11.9755,0.109572,1.312366
12,20.002,0.093,1.86,11.973309,0.119383,1.431901
13,20.003,0.099,1.98,11.971398,0.129018,1.545581
14,20.003,0.107,2.14,11.969133,0.139832,1.673666
15,20.003,0.113,2.26,11.966854,0.149691,1.790648
16,20.003,0.12,2.4,11.965329,0.159262,1.905614
17,20.003,0.127,2.54,11.963301,0.169795,2.031208
18,20.003,0.134,2.68,11.96145,0.179638,2.149597
19,20.004,0.141,2.821,11.959688,0.190236,2.27515
20,20.004,0.148,2.961,11.958252,0.199959,2.391339
21,20.004,0.154,3.081,11.956609,0.209722,2.50879
22,20.004,0.161,3.221,11.954921,0.220279,2.633795
23,20.004,0.168,3.361,11.953915,0.23005,2.750568
24,20.004,0.175,3.501,11.952079,0.239677,2.865299
25,20.004,0.182,3.641,11.950302,0.250226,2.988922
26,20.004,0.188,3.761,11.948673,0.260141,3.10748
27,20.004,0.195,3.901,11.9474,0.269904,3.223598
28,20.004,0.201,4.021,11.946467,0.279459,3.338046
29,20.004,0.209,4.181,11.944779,0.290249,3.465978
30,20.004,0.215,4.301,11.943655,0.300052,3.583037
31,20.004,0.222,4.441,11.942884,0.309286,3.693369
32,20.004,0.229,4.581,11.941241,0.320444,3.825916
33,20.004,0.236,4.721,11.939628,0.330103,3.941788
34,20.004,0.242,4.841,11.938176,0.33989,4.057646
35,20.004,0.249,4.981,11.936873,0.349365,4.16982
36,20.004,0.256,5.121,11.935734,0.359978,4.296968
37,20.004,0.263,5.261,11.934919,0.369853,4.413297
38,20.004,0.269,5.381,11.933573,0.379215,4.525579
39,20.004,0.276,5.521,11.932566,0.390093,4.65606
40,20.004,0.283,5.661,11.931841,0.400041,4.773112
41,20.004,0.289,5.781,11.930478,0.409467,4.885898
42,20.004,0.297,5.941,11.928894,0.420137,5.011282
43,20.004,0.304,6.061,11.927532,0.430028,5.130009
44,20.004,0.311,6.221,11.926214,0.439358,5.241386
45,20.004,0.317,6.341,11.924779,0.450116,5.367414
46,20.004,0.324,6.481,11.92346,0.460119,5.486681
47,20.003,0.33,6.601,11.922439,0.46957,5.596297
48,20.003,0.338,6.761,11.921506,0.47999,5.723992
49,20.003,0.344,6.881,11.920752,0.48993,5.840879
50,20.003,0.351,7.021,11.919494,0.499324,5.952579
51,20.003,0.357,7.141,11.918057,0.509045,6.065184
52,20.003,0.365,7.301,11.916739,0.51975,6.19382
53,20.003,0.371,7.421,11.915821,0.529363,6.308338
54,20.003,0.378,7.561,11.915111,0.539225,6.425307
55,20.003,0.385,7.701,11.914268,0.549833,6.549799
56,20.003,0.391,7.821,11.912831,0.559446,6.663713
57,20.003,0.398,7.961,11.911498,0.569412,6.781384
58,20.003,0.405,8.101,11.91024,0.579924,6.908377
59,20.003,0.412,8.241,11.909337,0.589618,7.021462
60,20.003,0.418,8.361,11.908685,0.599488,7.139944
61,20.003,0.426,8.521,11.907886,0.61004,7.26523
62,20.003,0.432,8.641,11.906524,0.619372,7.375774
63,20.003,0.439,8.781,11.905162,0.629314,7.492929
64,20.003,0.446,8.921,11.903889,0.640283,7.620498
65,20.003,0.452,9.041,11.902897,0.649856,7.736492
66,20.003,0.459,9.181,11.902201,0.65959,7.850743
67,20.003,0.466,9.321,11.901564,0.670222,7.977342
68,20.003,0.473,9.461,11.900335,0.680164,8.091872
69,20.003,0.479,9.581,11.898855,0.689633,8.203819
70,20.003,0.486,9.721,11.897626,0.700442,8.332123
71,20.003,0.493,9.861,11.896501,0.710183,8.448105
72,20.003,0.499,9.981,11.895717,0.71966,8.562263
73,20.003,0.506,10.122,11.895064,0.729458,8.676619
74,20.003,0.513,10.262,11.894265,0.740074,8.80442
75,20.003,0.52,10.402,11.892903,0.749591,8.915364
76,20.003,0.526,10.522,11.891615,0.759204,9.028765
77,20.003,0.533,10.682,11.890298,0.770173,9.158784
78,20.003,0.54,10.802,11.889216,0.779714,9.27141
79,20.003,0.547,10.922,11.888417,0.789632,9.38643
80,20.003,0.553,11.082,11.887825,0.800297,9.512798
81,20.003,0.56,11.202,11.887144,0.809813,9.626061
82,20.003,0.567,11.322,11.885723,0.819595,9.742377
83,20.003,0.574,11.482,11.884346,0.830332,9.868367
84,20.003,0.58,11.602,11.883146,0.839889,9.981354
85,20.003,0.587,11.742,11.882095,0.849687,10.094614
86,20.003,0.593,11.862,11.881296,0.859308,10.209105
87,20.003,0.6,12.002,11.880659,0.869643,10.331786
88,20.003,0.607,12.122,11.880023,0.879609,10.449276
89,20.003,0.613,12.262,11.879238,0.889263,10.563095
90,20.003,0.62,12.402,11.877461,0.899887,10.689501
91,20.003,0.627,12.542,11.876233,0.909797,10.804469
92,20.003,0.633,12.662,11.875093,0.919579,10.919413
93,20.003,0.64,12.802,11.873983,0.929906,11.041672
94,20.003,0.647,12.942,11.873109,0.939752,11.157657
95,20.003,0.654,13.062,11.87268,0.949445,11.272742
96,20.003,0.66,13.222,11.871881,0.96027,11.40003
97,20.003,0.667,13.342,11.871066,0.969779,11.511574
98,20.003,0.673,13.462,11.869541,0.97936,11.62376
99,20.003,0.68,13.602,11.868283,0.989085,11.739952
100,20.003,0.687,13.742,11.867113,0.999693,11.862828
101,20.003,0.694,13.882,11.866017,1.009555,11.979642
102,20.003,0.7,14.002,11.865129,1.019168,12.092772
103,20.003,0.707,14.142,11.864626,1.029873,12.218183
104,20.003,0.714,14.282,11.864019,1.03959,12.333831
105,20.003,0.72,14.402,11.863338,1.049452,12.450039
106,20.003,0.727,14.542,11.862124,1.060069,12.575078
107,20.003,0.734,14.682,11.860688,1.069658,12.68643
108,20.003,0.74,14.802,11.859592,1.079487,12.802043
109,20.003,0.748,14.962,11.858408,1.0902,12.928683
110,20.003,0.754,15.082,11.857327,1.099829,13.041574
111,20.003,0.76,15.202,11.856513,1.109747,13.156762
112,20.003,0.767,15.342,11.855728,1.120171,13.280457
113,20.003,0.774,15.482,11.855165,1.129961,13.395617
114,20.003,0.78,15.602,11.854425,1.139822,13.512156
115,20.003,0.787,15.742,11.853493,1.149379,13.62373
116,20.003,0.794,15.882,11.852027,1.160188,13.749932
117,20.003,0.801,16.022,11.851287,1.169825,13.863771
118,20.003,0.807,16.142,11.850591,1.17931,13.97387
119,20.003,0.814,16.282,11.849998,1.190127,14.102202
120,20.003,0.82,16.402,11.84951,1.199868,14.21785
121,20.003,0.827,16.542,11.849095,1.209401,14.330772
122,20.003,0.834,16.683,11.848681,1.22021,14.457068
123,20.003,0.84,16.823,11.848104,1.229807,14.571132
124,20.003,0.847,16.943,11.847659,1.239725,14.6883
