,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,6.0,0.008,0.048,3.311912,0.003093,0.010111
1,6.0,0.008,0.048,3.311867,0.003085,0.009925
2,6.0,0.019,0.114,3.304983,0.018889,0.063249
3,6.0,0.027,0.162,3.302571,0.028957,0.095471
4,6.0,0.034,0.204,3.300616,0.03957,0.131185
5,6.0,0.041,0.246,3.29915,0.04955,0.163314
6,6.0,0.049,0.294,3.297803,0.060267,0.198595
7,6.0,0.056,0.336,3.296767,0.069862,0.23053
8,6.0,0.063,0.378,3.295819,0.079665,0.262721
9,6.0,0.071,0.426,3.294857,0.090343,0.297321
10,6.0,0.078,0.468,3.294043,0.099994,0.329173
11,6.0,0.084,0.504,3.293243,0.109757,0.361008
12,6.0,0.092,0.552,3.292517,0.119488,0.394208
13,6.0,0.098,0.588,3.291822,0.129034,0.424495
14,6.0,0.106,0.636,3.291052,0.139936,0.460698
15,6.0,0.113,0.678,3.290416,0.149796,0.492597
16,6.0,0.12,0.72,3.289808,0.15927,0.52413
17,6.0,0.127,0.762,3.289142,0.169795,0.559163
18,6.001,0.134,0.804,3.288476,0.179887,0.591396
19,6.001,0.142,0.852,3.287824,0.190436,0.625646
20,6.001,0.149,0.894,3.287173,0.200111,0.658178
21,6.001,0.156,0.936,3.286596,0.209994,0.690143
22,6.001,0.163,0.978,3.286003,0.220303,0.724312
23,6.001,0.17,1.02,3.285426,0.230411,0.756385
24,6.001,0.177,1.062,3.284863,0.239861,0.788325
25,6.001,0.184,1.104,3.284212,0.250298,0.822525
26,6.001,0.191,1.146,3.283649,0.260198,0.854905
27,6.001,0.198,1.188,3.283161,0.270073,0.886745
28,6.001,0.204,1.23,3.282717,0.279483,0.918073
29,6.001,0.212,1.272,3.282539,0.290329,0.952648
30,6.001,0.219,1.308,3.282672,0.299851,0.984929
31,6.001,0.225,1.35,3.28285,0.309414,1.01579
32,6.001,0.233,1.398,3.283102,0.320268,1.051446
33,6.001,0.24,1.44,3.283368,0.330183,1.084245
34,6.001,0.247,1.482,3.283709,0.339995,1.116622
35,6.001,0.254,1.524,3.284005,0.349469,1.147421
36,6.001,0.262,1.572,3.284419,0.360138,1.182287
37,6.001,0.269,1.614,3.28476,0.369845,1.215058
38,6.001,0.276,1.656,3.285071,0.379295,1.24656
39,6.001,0.29,1.728,3.291333,0.390238,1.285079
40,6.001,0.3,1.8,3.296233,0.400081,1.319237
41,6.001,0.307,1.842,3.295213,0.409603,1.349454
42,6.001,0.315,1.89,3.293954,0.420097,1.384287
43,6.001,0.322,1.932,3.292902,0.430092,1.415565
44,6.001,0.329,1.974,3.291867,0.439582,1.447265
45,6.001,0.337,2.022,3.290712,0.450164,1.481993
46,6.001,0.344,2.064,3.28969,0.460224,1.513716
47,6.001,0.351,2.106,3.288728,0.469521,1.544602
48,6.001,0.359,2.154,3.287617,0.480151,1.578025
49,6.001,0.365,2.19,3.28667,0.490082,1.610672
50,6.001,0.373,2.238,3.285708,0.499388,1.641424
51,6.001,0.38,2.28,3.284775,0.50915,1.671983
52,6.001,0.387,2.322,3.283842,0.519967,1.707161
53,6.001,0.394,2.364,3.283057,0.529676,1.738287
54,6.001,0.401,2.406,3.282347,0.539321,1.770213
55,6.001,0.408,2.448,3.281888,0.550058,1.804519
56,6.001,0.415,2.49,3.281651,0.559502,1.836487
57,6.001,0.422,2.532,3.281488,0.5693,1.867776
58,6.001,0.43,2.574,3.281355,0.580165,1.905117
59,6.002,0.431,2.587,3.282287,0.589762,1.93472
60,6.002,0.444,2.665,3.281177,0.599504,1.96751
61,6.001,0.449,2.689,3.281222,0.610168,2.002471
62,6.001,0.458,2.731,3.281059,0.61954,2.033129
63,6.001,0.465,2.784,3.280822,0.62929,2.064823
64,6.001,0.47,2.814,3.280792,0.640123,2.100778
65,6.002,0.477,2.863,3.280792,0.650009,2.132299
66,6.002,0.483,2.899,3.280999,0.659542,2.164483
67,6.002,0.49,2.947,3.280985,0.670407,2.199163
68,6.002,0.496,2.983,3.28097,0.680132,2.231
69,6.002,0.503,3.019,3.280629,0.689673,2.262951
70,6.002,0.512,3.067,3.280482,0.700498,2.297413
71,6.002,0.518,3.109,3.280141,0.710344,2.330091
72,6.002,0.525,3.151,3.279741,0.719773,2.360541
73,6.002,0.533,3.199,3.279445,0.729362,2.391617
74,6.002,0.542,3.253,3.278364,0.74005,2.427063
75,6.001,0.55,3.295,3.277846,0.749623,2.457435
76,6.001,0.558,3.337,3.277387,0.759284,2.487824
77,6.001,0.568,3.403,3.275581,0.770374,2.522957
78,6.0,0.592,3.552,3.269082,0.779827,2.549588
79,6.0,0.599,3.594,3.266742,0.789576,2.579598
80,6.0,0.607,3.642,3.26424,0.800297,2.612873
81,6.0,0.614,3.684,3.262182,0.809782,2.64211
82,6.0,0.621,3.726,3.260036,0.819595,2.672217
83,6.0,0.629,3.768,3.257622,0.830581,2.70533
84,6.0,0.635,3.81,3.255801,0.839897,2.735034
85,6.0,0.643,3.858,3.253995,0.849807,2.764932
86,6.0,0.649,3.894,3.25213,0.859556,2.794658
87,6.0,0.657,3.942,3.25022,0.869924,2.827482
88,6.0,0.663,3.978,3.248532,0.879658,2.857296
89,6.0,0.671,4.026,3.247022,0.889559,2.888029
90,6.0,0.678,4.068,3.245586,0.900128,2.920581
91,6.0,0.685,4.11,3.244016,0.910005,2.951657
92,6.0,0.692,4.152,3.242773,0.919715,2.982286
93,6.0,0.699,4.194,3.241515,0.929962,3.014478
94,6.0,0.706,4.242,3.241115,0.939816,3.046119
95,6.0,0.714,4.284,3.242832,0.949702,3.079243
96,6.0,0.723,4.332,3.24834,0.960535,3.119695
97,6.0,0.729,4.362,3.254321,0.969955,3.155761
98,6.0,0.733,4.398,3.256645,0.979584,3.192025
99,6.0,0.737,4.428,3.258955,0.989302,3.224
100,6.0,0.747,4.482,3.258925,0.999726,3.25842
101,6.0,0.752,4.524,3.259547,1.009555,3.289355
102,6.0,0.761,4.572,3.260494,1.01953,3.322969
103,6.0,0.767,4.602,3.261782,1.030041,3.360521
104,6.0,0.775,4.644,3.262745,1.039614,3.392205
105,6.0,0.782,4.692,3.262938,1.049693,3.425407
106,6.0,0.79,4.728,3.264255,1.060093,3.459413
107,6.0,0.796,4.776,3.26467,1.069722,3.490987
108,6.0,0.803,4.818,3.265173,1.079688,3.525094
109,6.0,0.813,4.866,3.266269,1.090168,3.561255
110,6.0,0.819,4.914,3.266032,1.100174,3.592369
111,6.0,0.826,4.956,3.265884,1.109723,3.624464
112,6.0,0.835,5.004,3.267098,1.120163,3.658416
113,6.0,0.842,5.052,3.265602,1.130137,3.69026
114,6.0,0.851,5.106,3.266269,1.13979,3.720353
115,6.0,0.857,5.142,3.264122,1.149355,3.754177
116,6.0,0.866,5.196,3.264699,1.160188,3.789821
117,6.0,0.874,5.244,3.265291,1.169817,3.817695
118,5.999,0.883,5.291,3.26347,1.179439,3.849753
119,5.999,0.889,5.345,3.262168,1.190271,3.882703
120,5.999,0.899,5.393,3.26344,1.199949,3.915452
121,5.999,0.905,5.435,3.262701,1.209385,3.947778
122,5.999,0.915,5.483,3.262953,1.220234,3.98219
123,5.999,0.921,5.531,3.261709,1.229968,4.012838
124,5.999,0.93,5.579,3.263559,1.239782,4.046496
125,5.999,0.938,5.627,3.263278,1.250205,4.081229
126,5.999,0.946,5.675,3.262612,1.259842,4.11169
127,5.999,0.954,5.717,3.264388,1.269753,4.146973
128,5.999,0.962,5.771,3.264803,1.279261,4.175784
129,5.999,0.97,5.819,3.262923,1.29003,4.208273
130,5.999,0.976,5.867,3.262345,1.299996,4.239083
131,5.999,0.986,5.915,3.261812,1.309433,4.270819
132,5.999,0.995,5.969,3.263278,1.320185,4.305976
133,5.999,1.003,6.005,3.260954,1.330079,4.336913
134,5.999,1.011,6.059,3.261886,1.339644,4.369204
135,5.999,1.018,6.119,3.262419,1.35014,4.405065
136,5.999,1.027,6.161,3.262093,1.359898,4.43648
137,5.999,1.034,6.203,3.263263,1.369591,4.467597
138,5.999,1.042,6.257,3.264004,1.380103,4.501872
139,5.999,1.05,6.311,3.262567,1.390037,4.53511
140,5.999,1.058,6.353,3.263337,1.399345,4.565478
141,5.999,1.067,6.395,3.264447,1.409352,4.60059
142,5.999,1.076,6.461,3.265528,1.420209,4.634553
143,5.999,1.083,6.497,3.26239,1.429541,4.664694
144,5.998,1.091,6.556,3.264107,1.439331,4.698081
145,5.998,1.099,6.592,3.263648,1.450043,4.729652
146,5.998,1.11,6.64,3.263367,1.459552,4.765241
147,5.998,1.115,6.694,3.26313,1.469446,4.796484
148,5.998,1.123,6.754,3.264773,1.480215,4.832352
149,5.998,1.134,6.796,3.264447,1.4897,4.862465
150,5.998,1.14,6.844,3.265158,1.499545,4.89571
151,5.998,1.15,6.892,3.265336,1.510282,4.930171
152,5.998,1.158,6.946,3.264596,1.519542,4.961286
153,5.998,1.165,6.982,3.264033,1.529693,4.993575
154,5.998,1.174,7.042,3.264285,1.539121,5.025377
155,5.998,1.184,7.09,3.262893,1.550075,5.059612
156,5.998,1.191,7.138,3.264314,1.559752,5.089528
157,5.998,1.2,7.19,3.264107,1.569469,5.124177
158,5.997,1.208,7.244,3.264507,1.58015,5.158856
159,5.997,1.217,7.292,3.263722,1.589699,5.188735
160,5.997,1.225,7.334,3.264951,1.599368,5.221906
161,5.997,1.235,7.4,3.265943,1.610193,5.256597
162,5.997,1.242,7.442,3.265025,1.61979,5.287149
163,5.997,1.249,7.502,3.264314,1.629379,5.319234
164,5.997,1.259,7.55,3.264596,1.640284,5.355536
165,5.997,1.268,7.604,3.265232,1.649769,5.386616
166,5.997,1.276,7.646,3.263944,1.659567,5.416694
167,5.997,1.282,7.7,3.26316,1.669429,5.449369
168,5.997,1.293,7.754,3.26421,1.67986,5.484273
169,5.997,1.302,7.802,3.263352,1.689618,5.513738
170,5.997,1.31,7.85,3.263914,1.699416,5.54638
171,5.997,1.319,7.91,3.263722,1.710008,5.580593
172,5.997,1.33,7.964,3.263856,1.71987,5.612289
173,5.997,1.337,8.018,3.262745,1.729419,5.64385
174,5.997,1.346,8.066,3.262493,1.739834,5.677902
175,5.997,1.353,8.12,3.263056,1.749616,5.709737
176,5.997,1.362,8.174,3.263944,1.759389,5.74156
177,5.997,1.372,8.216,3.264077,1.770062,5.775575
178,5.997,1.381,8.282,3.263219,1.779908,5.809206
179,5.997,1.389,8.33,3.264166,1.789521,5.841263
180,5.997,1.397,8.378,3.263973,1.799993,5.875332
181,5.997,1.405,8.444,3.263796,1.809854,5.906708
182,5.997,1.415,8.492,3.26507,1.81958,5.940612
183,5.997,1.424,8.54,3.264077,1.829506,5.972051
184,5.997,1.433,8.588,3.264462,1.839849,6.006423
185,5.997,1.442,8.642,3.264255,1.849607,6.037827
186,5.997,1.45,8.696,3.264285,1.859268,6.069136
187,5.997,1.46,8.756,3.264122,1.86978,6.10437
188,5.997,1.469,8.804,3.264033,1.879682,6.136186
189,5.997,1.477,8.87,3.264388,1.889408,6.168198
190,5.997,1.486,8.918,3.264137,1.89992,6.2015
191,5.997,1.496,8.972,3.263663,1.909749,6.233094
192,5.997,1.504,9.025,3.263589,1.919394,6.263949
193,5.997,1.514,9.073,3.263278,1.929979,6.297694
194,5.997,1.523,9.133,3.261916,1.939512,6.328268
195,5.997,1.531,9.193,3.261901,1.949518,6.359117
196,5.997,1.542,9.229,3.261487,1.960014,6.392661
197,5.997,1.549,9.283,3.260672,1.969378,6.421175
198,5.997,1.559,9.349,3.259799,1.979401,6.451115
199,5.997,1.567,9.397,3.258777,1.98895,6.482518
200,5.997,1.576,9.457,3.259029,1.999871,6.516435
