,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,23.001,0.013,0.299,12.017694,0.003342,0.039486
1,23.001,0.013,0.299,12.017546,0.00327,0.039581
2,23.001,0.022,0.506,12.0085,0.018969,0.228752
3,23.001,0.028,0.644,12.004132,0.028885,0.346058
4,23.001,0.034,0.782,12.00049,0.039658,0.474574
5,23.001,0.04,0.92,11.997692,0.049422,0.594386
6,23.002,0.046,1.058,11.99448,0.060091,0.720854
7,23.002,0.052,1.196,11.992422,0.069894,0.835697
8,23.002,0.058,1.334,11.98992,0.079513,0.952675
9,23.002,0.064,1.472,11.987551,0.090343,1.082025
10,23.002,0.07,1.61,11.985997,0.099889,1.195922
11,23.003,0.076,1.748,11.984279,0.10958,1.316121
12,23.003,0.082,1.886,11.982946,0.119367,1.431811
13,23.004,0.087,2.001,11.98157,0.129074,1.546122
14,23.004,0.094,2.162,11.97969,0.139888,1.673608
15,23.004,0.1,2.3,11.977972,0.149539,1.792697
16,23.004,0.105,2.415,11.976995,0.159166,1.905554
17,23.004,0.112,2.576,11.975603,0.169755,2.032239
18,23.004,0.118,2.714,11.974153,0.179703,2.15217
19,23.004,0.124,2.852,11.972879,0.190196,2.278629
20,23.004,0.13,2.991,11.971843,0.200031,2.394536
21,23.004,0.135,3.129,11.971044,0.20993,2.51173
22,23.004,0.142,3.267,11.969682,0.220351,2.638099
23,23.004,0.148,3.405,11.969045,0.23025,2.755008
24,23.004,0.153,3.52,11.968157,0.239741,2.870497
25,23.004,0.159,3.658,11.966795,0.25021,2.994685
26,23.004,0.166,3.819,11.965639,0.260117,3.112361
27,23.004,0.171,3.934,11.96456,0.269969,3.228124
28,23.004,0.177,4.072,11.963671,0.279555,3.341806
29,23.004,0.183,4.21,11.963198,0.290136,3.473076
30,23.004,0.189,4.348,11.962294,0.299988,3.587363
31,23.004,0.195,4.486,11.961524,0.30935,3.700279
32,23.004,0.201,4.624,11.96102,0.320268,3.831888
33,23.004,0.207,4.762,11.96034,0.330063,3.94708
34,23.004,0.213,4.9,11.95948,0.339866,4.065579
35,23.004,0.219,5.015,11.958518,0.349437,4.179599
36,23.004,0.225,5.176,11.957335,0.35989,4.302059
37,23.004,0.231,5.314,11.956343,0.369942,4.421982
38,23.004,0.236,5.429,11.955883,0.379271,4.534706
39,23.004,0.243,5.59,11.955144,0.390158,4.666291
40,23.004,0.249,5.728,11.954299,0.400089,4.779907
41,23.004,0.254,5.843,11.953559,0.409531,4.894763
42,23.004,0.26,6.004,11.952788,0.420201,5.020187
43,23.004,0.266,6.119,11.952064,0.429892,5.137543
44,23.004,0.272,6.257,11.951353,0.43939,5.253689
45,23.004,0.278,6.418,11.950568,0.450228,5.378564
46,23.004,0.284,6.533,11.95008,0.459959,5.498265
47,23.004,0.29,6.671,11.949739,0.469497,5.611877
48,23.004,0.297,6.809,11.94894,0.479998,5.735157
49,23.004,0.302,6.947,11.947859,0.490058,5.853004
50,23.004,0.308,7.085,11.947001,0.49946,5.965322
51,23.004,0.314,7.223,11.946334,0.509013,6.081595
52,23.004,0.32,7.361,11.945905,0.519918,6.210026
53,23.004,0.326,7.499,11.945667,0.529564,6.323787
54,23.004,0.332,7.637,11.94515,0.539305,6.440709
55,23.004,0.338,7.775,11.944039,0.549833,6.5665
56,23.004,0.344,7.913,11.943211,0.559414,6.682318
57,23.004,0.349,8.028,11.94247,0.569292,6.799305
58,23.004,0.356,8.189,11.941864,0.580093,6.928627
59,23.004,0.361,8.304,11.94167,0.589714,7.039932
60,23.004,0.367,8.442,11.94139,0.599432,7.159179
61,23.004,0.373,8.603,11.940545,0.610112,7.285914
62,23.004,0.379,8.719,11.939583,0.619516,7.395618
63,23.004,0.385,8.857,11.938769,0.629402,7.514482
64,23.004,0.391,8.995,11.93794,0.640251,7.641549
65,23.004,0.397,9.133,11.937599,0.649929,7.760686
66,23.004,0.403,9.271,11.937363,0.659702,7.873755
67,23.004,0.409,9.409,11.93714,0.670335,8.000744
68,23.004,0.415,9.547,11.936193,0.680084,8.117545
69,23.004,0.421,9.685,11.93526,0.689649,8.229901
70,23.004,0.427,9.823,11.934298,0.700506,8.35973
71,23.004,0.433,9.961,11.933602,0.7102,8.476259
72,23.004,0.439,10.099,11.933084,0.719756,8.588118
73,23.004,0.444,10.214,11.932833,0.729249,8.703477
74,23.004,0.451,10.375,11.932611,0.740074,8.830888
75,23.004,0.456,10.49,11.932151,0.749455,8.943275
76,23.004,0.462,10.628,11.930996,0.759228,9.057666
77,23.004,0.469,10.789,11.930079,0.770334,9.187356
78,23.004,0.474,10.904,11.929323,0.779786,9.300888
79,23.004,0.48,11.042,11.928731,0.789552,9.417399
80,23.004,0.486,11.18,11.928227,0.800233,9.54513
81,23.004,0.491,11.295,11.92802,0.809725,9.65787
82,23.004,0.498,11.456,11.927798,0.819635,9.775764
83,23.004,0.504,11.594,11.927295,0.830187,9.904557
84,23.004,0.51,11.709,11.926332,0.840049,10.015462
85,23.004,0.515,11.847,11.925445,0.84963,10.133891
86,23.004,0.521,11.985,11.924749,0.859348,10.247143
87,23.004,0.527,12.123,11.924023,0.869763,10.369822
88,23.004,0.533,12.261,11.923475,0.879417,10.48669
89,23.004,0.539,12.399,11.923254,0.889335,10.605295
90,23.004,0.545,12.537,11.92309,0.899895,10.730142
91,23.004,0.55,12.675,11.922825,0.909708,10.847866
92,23.004,0.557,12.813,11.921877,0.919506,10.961366
93,23.004,0.563,12.951,11.92087,0.929673,11.084111
94,23.004,0.569,13.066,11.920159,0.93976,11.201756
95,23.004,0.574,13.204,11.919345,0.949517,11.316516
96,23.004,0.581,13.365,11.918633,0.960382,11.445474
97,23.004,0.586,13.48,11.918308,0.969795,11.560086
98,23.004,0.592,13.618,11.918101,0.979536,11.672573
99,23.004,0.597,13.756,11.91779,0.989358,11.791124
100,23.004,0.604,13.894,11.917524,0.999573,11.912745
101,23.004,0.609,14.009,11.916295,1.009571,12.030814
102,23.004,0.615,14.147,11.91551,1.019257,12.146355
103,23.004,0.622,14.308,11.914711,1.029985,12.271503
104,23.004,0.627,14.424,11.914001,1.039574,12.3867
105,23.004,0.633,14.562,11.91329,1.049605,12.502686
106,23.004,0.639,14.723,11.912978,1.06002,12.628176
107,23.004,0.645,14.838,11.912831,1.069537,12.743701
108,23.004,0.651,14.976,11.912535,1.079576,12.861155
109,23.004,0.657,15.114,11.912298,1.090216,12.985417
110,23.004,0.663,15.252,11.911217,1.100062,13.100748
111,23.004,0.668,15.367,11.910358,1.109739,13.215507
112,23.004,0.675,15.528,11.909575,1.120139,13.338367
113,23.004,0.68,15.643,11.908789,1.129864,13.454977
114,23.004,0.686,15.781,11.908064,1.139638,13.569448
115,23.004,0.692,15.919,11.907486,1.149371,13.684134
116,23.004,0.698,16.057,11.907456,1.160156,13.814161
117,23.004,0.704,16.172,11.907309,1.169873,13.92823
118,23.004,0.709,16.31,11.907043,1.179158,14.042166
119,23.004,0.715,16.448,11.906775,1.190167,14.169218
120,23.004,0.721,16.586,11.905487,1.199909,14.284912
121,23.004,0.727,16.724,11.904807,1.209225,14.395937
122,23.004,0.733,16.862,11.904021,1.220339,14.525376
123,23.004,0.738,16.977,11.903252,1.229952,14.639606
124,23.004,0.745,17.115,11.902452,1.239597,14.755681
125,23.004,0.751,17.276,11.901919,1.250069,14.877856
126,23.004,0.756,17.391,11.90186,1.25981,14.992964
127,23.004,0.762,17.529,11.901476,1.26972,15.109829
128,23.004,0.767,17.644,11.901031,1.279165,15.221283
129,23.004,0.774,17.805,11.900631,1.290102,15.351522
130,23.004,0.78,17.943,11.899757,1.299828,15.467597
131,23.004,0.785,18.058,11.898914,1.309425,15.579182
132,23.004,0.791,18.196,11.898174,1.319993,15.70533
