,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,23.001,0.013,0.299,12.009862,0.003173,0.036954
1,23.001,0.013,0.299,12.009566,0.003053,0.037532
2,23.001,0.022,0.506,11.999173,0.019274,0.231368
3,23.001,0.028,0.644,11.994258,0.02935,0.350584
4,23.001,0.035,0.805,11.989801,0.039899,0.479148
5,23.001,0.04,0.92,11.986293,0.04951,0.594682
6,23.001,0.047,1.081,11.98268,0.060532,0.724376
7,23.001,0.053,1.219,11.97969,0.070151,0.839425
8,23.001,0.059,1.357,11.977054,0.079914,0.956647
9,23.002,0.065,1.495,11.974256,0.090776,1.086583
10,23.002,0.07,1.633,11.972035,0.100146,1.200483
11,23.002,0.076,1.748,11.969962,0.109973,1.317811
12,23.002,0.082,1.886,11.967712,0.119937,1.433727
13,23.002,0.088,2.024,11.965788,0.129323,1.548395
14,23.002,0.094,2.162,11.963537,0.140089,1.676133
15,23.003,0.1,2.3,11.961598,0.150141,1.795072
16,23.003,0.106,2.438,11.959999,0.159559,1.909945
17,23.003,0.112,2.576,11.958222,0.170132,2.03436
18,23.004,0.118,2.714,11.956357,0.180079,2.153475
19,23.004,0.124,2.852,11.954743,0.190565,2.279315
20,23.004,0.13,2.991,11.953321,0.200344,2.396491
21,23.004,0.136,3.129,11.951679,0.210331,2.510653
22,23.004,0.142,3.267,11.950094,0.22056,2.636866
23,23.004,0.148,3.405,11.948628,0.230515,2.753588
24,23.004,0.154,3.543,11.947282,0.239957,2.867985
25,23.004,0.16,3.681,11.945905,0.250523,2.992333
26,23.004,0.166,3.819,11.944529,0.260446,3.109638
27,23.004,0.172,3.957,11.943063,0.270065,3.227492
28,23.004,0.178,4.072,11.941774,0.279748,3.340671
29,23.004,0.184,4.233,11.940428,0.29057,3.46787
30,23.004,0.19,4.371,11.939198,0.300228,3.585609
31,23.004,0.195,4.486,11.938,0.309687,3.695762
32,23.004,0.202,4.647,11.936444,0.320573,3.82602
33,23.004,0.208,4.785,11.935216,0.33024,3.943849
34,23.004,0.214,4.923,11.934075,0.340203,4.059808
35,23.004,0.219,5.038,11.93298,0.349774,4.174119
36,23.004,0.226,5.153,11.931692,0.360355,4.298199
37,23.004,0.231,5.314,11.93036,0.370198,4.414949
38,23.004,0.237,5.452,11.929071,0.379616,4.527018
39,23.004,0.243,5.59,11.927753,0.390478,4.65752
40,23.004,0.249,5.728,11.926659,0.400322,4.774788
41,23.004,0.255,5.866,11.925474,0.409884,4.886633
42,23.004,0.261,6.004,11.924216,0.420409,5.015406
43,23.004,0.267,6.142,11.923001,0.430285,5.131739
44,23.003,0.273,6.28,11.92198,0.439919,5.243175
45,23.003,0.279,6.418,11.920826,0.450461,5.370806
46,23.003,0.285,6.556,11.91976,0.460424,5.48646
47,23.003,0.291,6.694,11.918649,0.469778,5.600077
