,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,23.001,0.013,0.299,12.076928,0.003294,0.039195
1,23.001,0.013,0.299,12.076765,0.003302,0.03968
2,23.001,0.022,0.506,12.066639,0.018985,0.230346
3,23.001,0.028,0.644,12.061724,0.028941,0.349654
4,23.001,0.034,0.782,12.057267,0.039715,0.476139
5,23.001,0.04,0.92,12.053788,0.049413,0.59436
6,23.001,0.046,1.058,12.05028,0.060211,0.727494
7,23.001,0.053,1.196,12.047318,0.069822,0.840971
8,23.001,0.058,1.334,12.044609,0.079673,0.958572
9,23.002,0.065,1.495,12.041796,0.090592,1.088277
10,23.002,0.07,1.61,12.039738,0.099954,1.201289
11,23.002,0.076,1.748,12.037458,0.109692,1.321485
12,23.002,0.082,1.886,12.035178,0.119592,1.440563
13,23.002,0.088,2.024,12.033387,0.129018,1.554064
14,23.002,0.094,2.162,12.031196,0.139904,1.683104
15,23.003,0.1,2.3,12.02933,0.149691,1.801552
16,23.003,0.106,2.438,12.027805,0.159198,1.916337
17,23.003,0.112,2.576,12.02597,0.169851,2.04155
18,23.004,0.118,2.714,12.024015,0.179686,2.161988
19,23.004,0.124,2.852,12.022506,0.190388,2.287972
20,23.004,0.13,2.991,12.020891,0.200087,2.405315
21,23.004,0.136,3.129,12.019396,0.209794,2.52158
22,23.004,0.142,3.267,12.017827,0.220383,2.647161
23,23.004,0.148,3.405,12.016464,0.23025,2.76717
24,23.004,0.154,3.543,12.015177,0.239917,2.881292
25,23.004,0.16,3.681,12.013415,0.250274,3.007409
26,23.004,0.166,3.819,12.011861,0.260246,3.124786
27,23.004,0.172,3.957,12.010824,0.26988,3.241758
28,23.004,0.177,4.072,12.009655,0.279491,3.356101
29,23.004,0.184,4.233,12.008441,0.290265,3.484463
30,23.004,0.19,4.371,12.007005,0.300052,3.603775
31,23.004,0.195,4.509,12.005732,0.309382,3.715203
32,23.004,0.202,4.647,12.004384,0.32038,3.845559
33,23.004,0.207,4.762,12.003022,0.330159,3.961826
34,23.004,0.214,4.9,12.001556,0.340035,4.079501
35,23.004,0.219,5.038,12.00018,0.349565,4.19426
36,23.004,0.225,5.176,11.998832,0.360106,4.320743
37,23.004,0.231,5.314,11.997692,0.369942,4.438905
38,23.004,0.237,5.452,11.996879,0.3794,4.550142
39,23.004,0.243,5.59,11.995516,0.39015,4.680612
40,23.004,0.249,5.728,11.994036,0.400081,4.797216
41,23.004,0.255,5.866,11.993192,0.409571,4.91329
42,23.004,0.261,6.004,11.992141,0.420265,5.039461
43,23.004,0.267,6.142,11.990601,0.429972,5.156172
44,23.004,0.273,6.28,11.989624,0.439574,5.269544
45,23.004,0.279,6.418,11.988735,0.450212,5.398972
46,23.004,0.285,6.556,11.987404,0.460071,5.515459
47,23.004,0.29,6.671,11.986071,0.46965,5.62905
48,23.004,0.297,6.832,11.985211,0.480023,5.754888
49,23.004,0.303,6.97,11.984472,0.49005,5.873564
50,23.004,0.308,7.085,11.98308,0.499549,5.985246
51,23.004,0.314,7.223,11.981718,0.509182,6.100289
52,23.004,0.321,7.384,11.981051,0.519918,6.2301
53,23.004,0.326,7.499,11.980193,0.529668,6.344355
54,23.004,0.332,7.637,11.978713,0.539345,6.459565
55,23.004,0.338,7.775,11.977498,0.549913,6.58742
56,23.003,0.344,7.913,11.976862,0.559519,6.702309
57,23.004,0.35,8.051,11.976077,0.569364,6.818742
58,23.003,0.356,8.189,11.974404,0.580189,6.94778
59,23.003,0.362,8.327,11.973279,0.589682,7.06109
60,23.003,0.368,8.465,11.972643,0.599528,7.17809
61,23.003,0.374,8.603,11.971828,0.610104,7.303281
62,23.003,0.38,8.741,11.970407,0.619436,7.417172
63,23.003,0.385,8.856,11.969029,0.629515,7.534268
64,23.003,0.392,9.017,11.968364,0.64038,7.663327
65,23.003,0.398,9.155,11.967742,0.650185,7.780618
66,23.003,0.403,9.27,11.966439,0.659694,7.894634
67,23.003,0.41,9.431,11.964692,0.670399,8.01924
68,23.003,0.415,9.569,11.963997,0.68018,8.136974
69,23.003,0.421,9.684,11.963345,0.689633,8.250694
70,23.003,0.427,9.822,11.962502,0.700554,8.378794
71,23.003,0.433,9.96,11.960754,0.71032,8.494576
72,23.003,0.439,10.098,11.959777,0.719724,8.608927
73,23.003,0.445,10.236,11.95917,0.729514,8.723775
74,23.003,0.451,10.374,11.958518,0.740219,8.851383
75,23.003,0.456,10.489,11.957142,0.749679,8.965201
76,23.003,0.462,10.627,11.955587,0.759397,9.079542
77,23.003,0.469,10.788,11.954803,0.770406,9.210926
78,23.003,0.475,10.926,11.954225,0.779891,9.324153
79,23.003,0.48,11.041,11.953708,0.789753,9.439755
80,23.003,0.486,11.179,11.951783,0.800377,9.566112
81,23.003,0.492,11.317,11.950717,0.809878,9.677746
82,23.003,0.498,11.455,11.950169,0.819692,9.794062
83,23.003,0.504,11.594,11.949385,0.830364,9.922888
84,23.003,0.51,11.732,11.948732,0.840009,10.03768
85,23.003,0.515,11.87,11.946733,0.849815,10.151816
86,23.003,0.521,11.985,11.94592,0.859492,10.267209
87,23.003,0.527,12.123,11.945224,0.869844,10.390285
88,23.003,0.533,12.261,11.944543,0.879633,10.505559
89,23.003,0.539,12.399,11.943906,0.889391,10.622075
90,23.003,0.545,12.537,11.94176,0.899935,10.747423
91,23.003,0.551,12.675,11.941093,0.909829,10.864696
92,23.003,0.557,12.79,11.940486,0.919458,10.978518
93,23.003,0.563,12.951,11.939761,0.929842,11.102386
94,23.003,0.569,13.089,11.939109,0.939744,11.220168
95,23.003,0.574,13.204,11.937111,0.949541,11.334944
96,23.003,0.581,13.365,11.936193,0.960422,11.462924
97,23.003,0.587,13.48,11.935527,0.969939,11.575984
98,23.003,0.592,13.618,11.934905,0.979536,11.69038
99,23.003,0.598,13.756,11.934165,0.989278,11.806559
100,23.003,0.604,13.894,11.932861,0.99971,11.930182
101,23.003,0.609,14.032,11.931278,1.009604,12.046551
102,23.003,0.616,14.147,11.930981,1.019441,12.163036
103,23.003,0.622,14.285,11.92999,1.030194,12.290283
104,23.003,0.627,14.423,11.92919,1.039943,12.403723
105,23.003,0.633,14.561,11.92851,1.049725,12.519614
106,23.003,0.639,14.699,11.926511,1.060069,12.642585
107,23.003,0.645,14.837,11.926082,1.069834,12.759105
108,23.003,0.651,14.975,11.925296,1.07972,12.875998
109,23.003,0.657,15.09,11.924526,1.090304,13.001009
110,23.003,0.662,15.251,11.923638,1.099933,13.115847
111,23.003,0.668,15.366,11.923001,1.109715,13.230576
112,23.003,0.674,15.527,11.921077,1.120082,13.352157
113,23.003,0.68,15.642,11.920692,1.129985,13.469351
114,23.003,0.686,15.78,11.919952,1.13971,13.585161
115,23.002,0.691,15.918,11.919271,1.149379,13.700242
116,23.003,0.697,16.033,11.918442,1.160333,13.829209
117,23.003,0.703,16.194,11.91782,1.169898,13.942247
118,23.003,0.707,16.308,11.917242,1.179455,14.056377
119,23.003,0.717,16.446,11.916222,1.190247,14.183686
120,23.003,0.721,16.585,11.915703,1.199997,14.298614
121,23.003,0.727,16.7,11.91514,1.209249,14.41038
122,23.003,0.733,16.837,11.914518,1.220339,14.539459
123,23.002,0.739,16.975,11.914044,1.229952,14.653264
124,23.003,0.743,17.113,11.913527,1.239685,14.768605
125,23.002,0.75,17.252,11.913037,1.250157,14.893284
126,23.002,0.756,17.39,11.912579,1.259859,15.008832
127,23.002,0.761,17.528,11.912061,1.269672,15.125864
128,23.002,0.766,17.666,11.911691,1.279221,15.239121
129,23.002,0.773,17.804,11.911276,1.29007,15.365273
130,23.002,0.779,17.919,11.910743,1.29978,15.48245
131,23.002,0.785,18.057,11.910329,1.309345,15.594798
132,23.002,0.791,18.218,11.909825,1.320185,15.721764
133,23.002,0.797,18.333,11.909381,1.329903,15.839484
134,23.002,0.803,18.471,11.908937,1.33954,15.951524
135,23.002,0.809,18.609,11.908567,1.350084,16.077003
136,23.002,0.815,18.747,11.908138,1.359946,16.195742
137,23.002,0.82,18.885,11.907752,1.369487,16.306856
138,23.002,0.826,19.023,11.907397,1.380071,16.432077
139,23.002,0.834,19.161,11.906849,1.389917,16.54883
140,23.002,0.838,19.276,11.906376,1.399498,16.662928
141,23.002,0.843,19.437,11.90602,1.409352,16.780209
142,23.002,0.852,19.575,11.905606,1.42008,16.905197
143,23.002,0.858,19.713,11.905266,1.429629,17.019066
144,23.002,0.863,19.828,11.904658,1.439395,17.136992
145,23.002,0.869,19.966,11.904215,1.450091,17.260511
146,23.002,0.873,20.173,11.903666,1.459576,17.373848
147,23.002,0.881,20.311,11.903622,1.469334,17.491644
148,23.001,0.888,20.426,11.903267,1.480183,17.617935
149,23.001,0.895,20.517,11.902763,1.489611,17.729542
150,23.001,0.899,20.701,11.902452,1.499457,17.845943
151,23.001,0.906,20.839,11.902097,1.510154,17.973595
152,23.001,0.914,20.977,11.901831,1.519574,18.086912
153,23.001,0.919,21.138,11.901357,1.529597,18.202587
154,23.001,0.924,21.276,11.901223,1.539186,18.317791
155,23.001,0.93,21.414,11.900928,1.550107,18.447165
156,23.001,0.936,21.575,11.900705,1.559696,18.560577
157,23.001,0.944,21.759,11.900247,1.569534,18.676474
158,23.001,0.951,21.897,11.900202,1.580142,18.803001
159,23.001,0.957,22.012,11.90004,1.589634,18.915174
160,23.001,0.967,22.219,11.899477,1.599312,19.031404
161,23.001,0.976,22.38,11.898559,1.610177,19.159954
162,23.001,0.981,22.61,11.900439,1.619646,19.275784
163,23.001,0.99,22.771,11.901831,1.629483,19.392904
164,23.001,0.998,22.955,11.901905,1.64026,19.521883
165,23.002,1.006,23.117,11.901816,1.649873,19.634638
166,23.002,1.012,23.278,11.900646,1.65951,19.747049
167,23.002,1.016,23.37,11.899062,1.669485,19.862164
168,23.002,1.018,23.462,11.897567,1.679828,19.988634
169,23.001,1.025,23.599,11.896101,1.68981,20.1017
170,23.001,1.026,23.668,11.893643,1.69956,20.213217
171,23.001,1.034,23.852,11.892963,1.709783,20.336748
172,23.001,1.04,23.898,11.892415,1.719645,20.452353
173,23.001,1.043,24.036,11.8912,1.729274,20.563421
174,23.001,1.052,24.22,11.889853,1.739634,20.687138
175,23.001,1.06,24.358,11.889898,1.749536,20.802185
176,23.001,1.07,24.61,11.888891,1.759389,20.917078
177,23.001,1.077,24.795,11.885086,1.769789,21.033556
178,23.002,1.083,24.957,11.873864,1.779635,21.132925
179,23.002,1.099,25.21,11.855225,1.7894,21.212507
180,23.004,1.098,25.373,11.837992,1.799976,21.308453
181,23.005,1.106,25.49,11.837252,1.809822,21.421894
182,23.005,1.115,25.582,11.838909,1.819588,21.54034
183,23.005,1.116,25.743,11.837518,1.829362,21.6541
184,23.005,1.124,25.858,11.836052,1.839833,21.776541
185,23.005,1.128,25.973,11.834306,1.849463,21.887629
186,23.005,1.135,26.111,11.838273,1.859308,22.012171
187,23.005,1.141,26.249,11.839191,1.869724,22.136333
188,23.002,1.148,26.406,11.839369,1.879586,22.252329
189,23.002,1.153,26.521,11.836541,1.889328,22.363113
190,23.003,1.16,26.637,11.834291,1.899743,22.483789
191,23.003,1.164,26.775,11.833166,1.909493,22.596903
192,23.003,1.171,26.914,11.83278,1.919347,22.711096
193,23.003,1.177,27.052,11.830086,1.929947,22.832672
194,23.003,1.182,27.19,11.828428,1.939704,22.94124
195,23.003,1.187,27.329,11.826341,1.949598,23.054958
196,23.004,1.192,27.421,11.814467,1.959949,23.156191
197,23.004,1.195,27.467,11.77667,1.969531,23.19383
198,23.005,1.197,27.514,11.746542,1.979296,23.248667
199,23.005,1.201,27.629,11.732937,1.988998,23.337826
200,23.005,1.2,27.606,11.656884,1.999822,23.312048
