,psu_measured_voltages,psu_measured_currents,psu_measured_powers,load_measured_voltages,load_measured_currents,load_measured_powers
0,12.0,0.011,0.132,3.312104,0.00335,0.010697
1,12.0,0.011,0.132,3.312134,0.003237,0.01067
2,12.0,0.016,0.192,3.311142,0.019081,0.063127
3,12.0,0.02,0.24,3.310831,0.029053,0.095953
4,12.0,0.024,0.288,3.31092,0.039747,0.13112
5,12.0,0.027,0.324,3.31135,0.049357,0.162614
6,12.0,0.031,0.372,3.311882,0.060163,0.199043
7,12.0,0.035,0.42,3.312386,0.069646,0.231334
8,12.0,0.038,0.456,3.312904,0.079681,0.263606
9,12.0,0.042,0.504,3.313511,0.090584,0.299908
10,12.0,0.046,0.552,3.313956,0.100058,0.331453
11,12.0,0.049,0.588,3.31434,0.109829,0.36342
12,12.0,0.053,0.636,3.314651,0.119536,0.396143
13,12.0,0.057,0.684,3.314799,0.129154,0.427769
14,12.0,0.06,0.72,3.314666,0.13992,0.463589
15,12.0,0.064,0.768,3.315347,0.149771,0.496533
16,12.0,0.068,0.816,3.316013,0.15943,0.528999
17,12.0,0.072,0.864,3.316664,0.169971,0.56395
18,12.0,0.075,0.9,3.31699,0.179879,0.596904
19,12.0,0.08,0.96,3.316664,0.190428,0.632023
20,12.0,0.083,0.996,3.31585,0.20032,0.664366
21,12.0,0.086,1.032,3.315465,0.210123,0.696253
22,12.0,0.091,1.08,3.31551,0.220544,0.730869
23,12.0,0.094,1.128,3.315628,0.230315,0.763731
24,12.0,0.097,1.164,3.315717,0.24003,0.795234
25,12.0,0.102,1.224,3.315495,0.250194,0.829614
26,12.0,0.105,1.26,3.315495,0.26027,0.862676
27,12.0,0.108,1.308,3.315599,0.269848,0.895216
28,12.0,0.112,1.344,3.315495,0.279619,0.926996
29,12.0,0.116,1.392,3.314103,0.290257,0.961693
30,12.0,0.12,1.44,3.314014,0.299996,0.994807
31,12.0,0.123,1.476,3.314192,0.30951,1.025481
32,12.0,0.127,1.524,3.313837,0.320348,1.061221
33,12.0,0.131,1.572,3.314029,0.330063,1.094332
34,12.0,0.134,1.608,3.314355,0.339842,1.126593
35,12.0,0.138,1.656,3.314162,0.349453,1.157849
36,12.0,0.141,1.704,3.313437,0.360058,1.193158
37,12.0,0.145,1.74,3.312771,0.370006,1.225713
38,12.0,0.149,1.776,3.311824,0.379384,1.256267
39,12.0,0.152,1.836,3.311187,0.390134,1.292553
40,12.0,0.156,1.872,3.311187,0.400161,1.324642
41,12.0,0.159,1.908,3.310461,0.409611,1.355354
42,12.0,0.163,1.956,3.310002,0.420177,1.391303
43,12.0,0.166,2.004,3.309247,0.43014,1.423031
44,12.0,0.17,2.04,3.308995,0.439534,1.454592
45,12.0,0.174,2.088,3.308625,0.450204,1.489118
46,12.001,0.178,2.136,3.308655,0.460143,1.522714
47,12.001,0.181,2.184,3.308522,0.469674,1.553949
48,12.001,0.185,2.22,3.308448,0.480159,1.588828
49,12.001,0.188,2.256,3.307811,0.490163,1.621426
50,12.001,0.192,2.304,3.307589,0.499516,1.652088
51,12.001,0.195,2.34,3.307278,0.509198,1.684496
52,12.001,0.199,2.388,3.306952,0.520151,1.719499
53,12.001,0.203,2.436,3.306967,0.529564,1.75071
54,12.001,0.206,2.472,3.307027,0.539402,1.783937
55,12.001,0.21,2.532,3.307041,0.550018,1.819037
56,12.001,0.215,2.568,3.3071,0.559687,1.850766
57,12.001,0.217,2.616,3.30716,0.569372,1.882811
58,12.001,0.223,2.664,3.307056,0.580334,1.919775
59,12.001,0.226,2.7,3.30716,0.589754,1.950719
60,12.001,0.229,2.748,3.307426,0.599696,1.982841
61,12.001,0.233,2.796,3.306923,0.610264,2.017989
62,12.001,0.236,2.832,3.307323,0.619557,2.049043
63,12.001,0.241,2.892,3.307381,0.629523,2.082218
64,12.001,0.245,2.928,3.307426,0.640444,2.117942
65,12.001,0.248,2.976,3.308951,0.650274,2.151201
66,12.001,0.252,3.024,3.308359,0.659791,2.183267
67,12.001,0.256,3.072,3.308699,0.670391,2.218432
68,12.001,0.259,3.12,3.310046,0.680229,2.251161
69,12.001,0.263,3.156,3.310224,0.689721,2.282569
70,12.001,0.268,3.204,3.310594,0.700643,2.319434
71,12.001,0.271,3.252,3.311557,0.710272,2.35249
72,12.001,0.275,3.312,3.312682,0.719636,2.385097
73,12.001,0.279,3.348,3.316398,0.729201,2.419533
74,12.001,0.284,3.42,3.32118,0.740106,2.45861
75,12.001,0.29,3.492,3.329811,0.749479,2.495001
76,12.001,0.296,3.54,3.334475,0.759381,2.531523
77,12.001,0.3,3.6,3.334371,0.770061,2.568427
78,12.001,0.304,3.648,3.334475,0.779666,2.599747
79,12.001,0.308,3.696,3.333927,0.789488,2.632462
80,12.001,0.312,3.744,3.333157,0.800441,2.66739
81,12.001,0.316,3.792,3.332595,0.80983,2.698698
82,12.001,0.319,3.828,3.331706,0.819796,2.73048
83,12.001,0.323,3.876,3.330507,0.830412,2.76581
84,12.001,0.327,3.924,3.329737,0.839913,2.797093
85,12.001,0.33,3.96,3.328745,0.849719,2.828968
86,12.001,0.334,4.008,3.327827,0.859452,2.860282
87,12.001,0.338,4.056,3.326791,0.869667,2.893445
88,12.001,0.341,4.092,3.325784,0.879633,2.925699
89,12.001,0.345,4.14,3.324792,0.889527,2.957642
90,12.001,0.349,4.188,3.323726,0.900007,2.991458
91,12.002,0.353,4.237,3.322631,0.909933,3.022665
92,12.001,0.356,4.272,3.321521,0.919394,3.054212
93,12.002,0.36,4.32,3.320351,0.93001,3.087453
94,12.002,0.364,4.369,3.31924,0.939744,3.119301
95,12.002,0.367,4.405,3.318145,0.949477,3.150209
96,12.002,0.372,4.453,3.316857,0.960326,3.185554
97,12.002,0.375,4.501,3.315732,0.969955,3.21542
98,12.002,0.378,4.537,3.314518,0.979584,3.246809
99,12.001,0.382,4.585,3.313378,0.989326,3.27774
100,12.002,0.386,4.633,3.312001,0.999862,3.31131
101,12.002,0.389,4.669,3.310831,1.009628,3.343135
102,12.002,0.393,4.717,3.309662,1.019433,3.373824
103,12.002,0.397,4.765,3.308344,1.03005,3.408081
104,12.002,0.4,4.801,3.307545,1.039743,3.439461
105,12.002,0.404,4.849,3.306257,1.049661,3.470802
106,12.002,0.408,4.897,3.305531,1.060101,3.504806
107,12.001,0.411,4.945,3.304717,1.06973,3.535378
108,12.002,0.415,4.981,3.303503,1.079752,3.56723
109,12.002,0.419,5.029,3.302748,1.090344,3.60095
110,12.002,0.423,5.077,3.301623,1.100134,3.632674
111,12.002,0.426,5.113,3.300689,1.1099,3.663137
112,12.002,0.431,5.161,3.299432,1.120131,3.695348
113,12.002,0.434,5.209,3.298143,1.129952,3.726676
114,12.002,0.437,5.245,3.297344,1.139838,3.758697
115,12.002,0.441,5.293,3.295642,1.14954,3.788409
116,12.002,0.445,5.341,3.294739,1.160316,3.822994
117,12.002,0.448,5.377,3.293569,1.169825,3.853104
118,12.002,0.452,5.425,3.292266,1.179455,3.882789
119,12.002,0.456,5.473,3.291259,1.190223,3.917007
120,12.002,0.459,5.509,3.290045,1.200053,3.947622
121,12.002,0.462,5.545,3.288728,1.209425,3.977561
122,12.002,0.467,5.605,3.287869,1.220298,4.012156
123,12.002,0.47,5.641,3.286773,1.230152,4.042952
124,12.002,0.474,5.689,3.285589,1.239902,4.073455
125,12.002,0.478,5.725,3.285175,1.250197,4.107055
126,12.002,0.481,5.785,3.284168,1.259883,4.137846
127,12.002,0.485,5.821,3.283043,1.269712,4.168498
128,12.002,0.488,5.857,3.28245,1.27939,4.199205
129,12.002,0.492,5.905,3.281384,1.290046,4.233676
130,12.002,0.496,5.953,3.280615,1.299988,4.264379
131,12.002,0.499,5.989,3.280008,1.309369,4.295147
132,12.002,0.503,6.037,3.279031,1.320193,4.329198
133,12.002,0.507,6.085,3.27826,1.329999,4.35984
134,12.002,0.51,6.121,3.277727,1.3395,4.390864
135,12.002,0.514,6.169,3.276869,1.350052,4.424259
136,12.002,0.517,6.205,3.276055,1.360147,4.455435
137,12.002,0.521,6.253,3.275655,1.369447,4.48625
138,12.002,0.525,6.301,3.275255,1.379935,4.520243
139,12.002,0.528,6.337,3.27487,1.389901,4.552145
140,12.002,0.531,6.385,3.274589,1.399602,4.582748
141,12.002,0.535,6.421,3.274293,1.40928,4.614841
142,12.002,0.539,6.469,3.274041,1.420225,4.649285
143,12.002,0.543,6.517,3.27373,1.429637,4.679879
144,12.002,0.546,6.565,3.273404,1.439483,4.712121
145,12.002,0.55,6.601,3.273079,1.45018,4.74608
